ID,KIDSDRIV,BIRTH,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,CAR_VALUE,CAR_TYPE,OLDCLAIM,CLM_FREQ,CLM_AMT,CAR_AGE,URBANICITY
107090435,0,09-04-54,3,15,"39,055",No,"133,294",Yes,F,High School,Manager,17,Private,"9,910",Sports Car,"5,762",5,0,1,Highly Urban/ Urban
107300241,0,19-04-63,0,10,"22,362",No,"126,267",No,F,High School,Clerical,34,Private,"9,200",SUV,"4,633",1,"3,404",1,Highly Urban/ Urban
107405130,0,31-07-68,0,8,"23,533",No,"115,964",No,M,<High School,Clerical,57,Commercial,"12,200",Pickup,"6,931",3,0,7,Highly Rural/ Rural
107412624,0,30-10-46,0,12,"72,537",No,0,No,M,Bachelors,Blue Collar,23,Commercial,"18,880",Van,0,0,"6,804",1,Highly Urban/ Urban
107412766,0,16-01-48,0,11,"72,518",No,0,No,F,Bachelors,Blue Collar,28,Commercial,"16,510",SUV,"5,217",2,0,11,Highly Urban/ Urban
107451540,0,12-04-46,0,14,"123,265",No,"345,259",Yes,M,Masters,Lawyer,5,Private,"15,910",Minivan,0,0,0,19,Highly Urban/ Urban
107465019,0,26-09-49,0,15,"63,910",No,"227,449",Yes,M,Masters,Lawyer,46,Private,"12,890",Minivan,"1,946",4,0,15,Highly Urban/ Urban
107544320,0,24-11-46,0,7,"73,574",No,"224,049",Yes,M,High School,Professional,13,Commercial,"27,520",Panel Truck,0,0,"4,174",1,Highly Urban/ Urban
108018753,0,24-09-46,0,8,"51,802",No,0,No,F,High School,Clerical,48,Private,"24,600",Minivan,0,0,0,11,Highly Rural/ Rural
108846302,1,19-11-58,4,16,"138,736",Yes,0,No,M,Bachelors,Manager,20,Private,"19,370",Van,"5,375",2,0,14,Highly Urban/ Urban
109004366,0,31-08-54,0,13,"69,852",No,"214,714",Yes,F,Bachelors,Professional,10,Private,"6,000",SUV,0,0,0,8,Highly Urban/ Urban
109201129,0,27-07-53,0,13,"57,323",No,0,No,F,Bachelors,Professional,17,Private,"8,780",Minivan,0,0,0,6,Highly Urban/ Urban
109271585,2,03-11-60,2,14,"75,946",No,"229,313",Yes,M,Bachelors,Blue Collar,19,Commercial,"20,090",Van,"4,017",2,0,11,Highly Urban/ Urban
109466732,1,07-02-63,4,0,0,No,0,Yes,F,<High School,Student,30,Private,"8,250",Sports Car,0,0,0,1,Highly Urban/ Urban
109562465,0,11-03-55,0,0,0,No,0,No,M,Bachelors,Student,66,Commercial,"1,500",Minivan,"4,042",3,0,11,Highly Urban/ Urban
109589502,0,19-03-47,0,9,"30,776",No,"200,353",Yes,M,<High School,Clerical,25,Commercial,"25,530",Panel Truck,"1,086",2,0,5,Highly Urban/ Urban
110129530,0,02-08-52,0,14,"80,198",No,"262,212",No,M,Bachelors,Blue Collar,31,Commercial,"14,220",Minivan,0,0,0,9,Highly Urban/ Urban
110508376,0,03-08-35,0,8,"90,354",No,"280,325",Yes,M,Masters,Lawyer,33,Private,"16,940",SUV,0,0,0,15,Highly Urban/ Urban
110666257,1,17-03-59,1,12,"159,889",No,"412,774",Yes,F,PhD,Doctor,10,Private,"24,870",Sports Car,"7,343",4,"4,907",13,Highly Urban/ Urban
110885671,0,29-01-48,0,13,"109,056",No,"307,278",Yes,F,Masters,Lawyer,27,Private,"18,480",SUV,0,0,0,14,Highly Urban/ Urban
110922118,0,11-04-53,1,17,"45,298",No,"137,041",Yes,M,Masters,Manager,8,Private,"14,660",Minivan,0,0,0,16,Highly Urban/ Urban
110994221,0,30-07-44,0,15,"124,833",No,"400,395",Yes,M,Masters,Lawyer,40,Private,"37,360",Minivan,0,0,0,19,Highly Urban/ Urban
111046373,1,23-09-60,1,11,"50,891",No,"194,126",Yes,F,High School,Clerical,32,Private,"10,490",SUV,0,0,0,6,Highly Rural/ Rural
111052061,0,21-10-40,0,12,"83,208",No,"271,242",Yes,F,Bachelors,Blue Collar,49,Commercial,"22,280",Pickup,0,0,0,13,Highly Urban/ Urban
111083420,0,17-08-30,1,14,"5,622",No,"181,254",Yes,F,High School,Home Maker,26,Private,"9,350",Sports Car,0,0,0,1,Highly Rural/ Rural
111187023,0,10-09-54,0,11,"119,566",No,"334,438",Yes,F,PhD,Doctor,49,Private,"18,500",SUV,0,0,0,17,Highly Urban/ Urban
111590794,0,04-08-61,0,10,"21,147",No,"135,174",Yes,M,High School,Blue Collar,35,Commercial,"7,410",Pickup,0,0,0,6,Highly Urban/ Urban
111618251,0,16-03-43,0,12,"69,620",No,0,No,F,Masters,Lawyer,38,Private,"21,940",Minivan,0,0,0,7,Highly Urban/ Urban
111663631,0,13-04-50,0,13,"1,201",No,0,No,F,High School,Home Maker,13,Private,"31,430",Sports Car,0,0,0,1,Highly Urban/ Urban
111775402,0,18-06-46,0,12,"34,565",No,0,No,F,High School,Blue Collar,49,Commercial,"31,900",Pickup,0,0,0,1,Highly Rural/ Rural
112015529,0,04-09-59,0,10,"52,856",No,"174,800",No,F,Masters,Lawyer,36,Private,"10,790",SUV,0,0,0,13,Highly Urban/ Urban
112239887,0,27-02-59,1,5,"89,348",No,"230,106",Yes,F,Masters,Professional,48,Private,"18,150",Pickup,0,0,0,14,Highly Urban/ Urban
112239913,0,14-08-62,0,11,"90,295",No,"240,194",Yes,F,Bachelors,Manager,25,Private,"14,890",SUV,0,0,0,14,Highly Urban/ Urban
112257983,0,28-01-71,1,12,"12,841",No,"85,755",Yes,F,Bachelors,Home Maker,52,Private,"24,690",Minivan,"3,031",2,0,10,Highly Urban/ Urban
112259934,0,15-07-53,0,6,"74,417",No,"263,259",Yes,M,Bachelors,Professional,50,Commercial,"28,360",Panel Truck,"2,913",2,0,1,Highly Urban/ Urban
112341500,0,23-06-46,0,15,"63,049",No,"197,046",Yes,M,Bachelors,Professional,40,Private,"13,010",Minivan,"1,402",1,0,12,Highly Urban/ Urban
112520687,1,02-02-56,1,3,"154,611",Yes,0,No,M,Masters,Lawyer,30,Private,"21,260",Van,0,0,0,19,Highly Urban/ Urban
112596156,0,31-08-70,1,0,0,Yes,0,No,M,High School,Student,32,Private,"4,400",Minivan,"3,359",3,0,7,Highly Urban/ Urban
112600407,0,30-09-46,0,11,"69,861",No,0,No,M,High School,Blue Collar,14,Commercial,"13,970",Minivan,0,0,0,10,Highly Urban/ Urban
112639186,0,09-12-55,0,7,"83,550",No,0,No,M,Bachelors,Professional,5,Commercial,"24,950",Panel Truck,0,0,0,13,Highly Urban/ Urban
112898090,0,20-08-58,0,10,"136,585",No,0,No,M,Masters,Lawyer,47,Private,"22,060",Van,"1,685",3,"2,489",10,Highly Urban/ Urban
113060319,1,09-06-52,0,12,"32,992",No,"143,769",Yes,M,High School,Clerical,28,Private,"9,860",SUV,0,0,0,7,Highly Rural/ Rural
113185422,0,01-05-49,0,13,"22,784",No,"119,070",Yes,M,Masters,Lawyer,10,Private,"13,000",Minivan,0,0,0,10,Highly Urban/ Urban
113270551,0,28-04-53,0,14,"52,411",No,"158,113",Yes,M,Bachelors,Manager,14,Private,"11,340",Minivan,0,0,0,8,Highly Urban/ Urban
113581636,0,29-12-66,3,14,"21,944",No,"128,776",Yes,F,<High School,Blue Collar,34,Private,"7,270",SUV,0,0,0,1,Highly Urban/ Urban
113816794,0,14-05-52,0,11,"77,501",No,"223,491",Yes,M,High School,Professional,66,Private,"21,030",Minivan,"8,657",2,0,12,Highly Urban/ Urban
113826935,0,10-04-48,0,12,"72,035",No,0,No,M,Bachelors,Professional,41,Private,"18,260",Minivan,"3,077",2,0,8,Highly Urban/ Urban
114156262,0,09-03-49,0,9,"58,762",No,0,No,M,Masters,Lawyer,13,Private,"13,320",Minivan,"5,253",3,0,8,Highly Urban/ Urban
114157666,0,09-08-51,0,13,"57,368",No,"210,206",Yes,M,High School,Blue Collar,33,Commercial,"19,960",Van,"8,639",3,0,1,Highly Urban/ Urban
114428762,0,25-07-67,1,13,"75,512",Yes,0,No,F,High School,Manager,8,Private,"20,760",SUV,0,0,0,6,Highly Urban/ Urban
114807791,0,12-04-54,0,8,"55,060",No,0,No,M,<High School,Blue Collar,52,Commercial,"27,660",Panel Truck,0,0,0,8,Highly Rural/ Rural
115056774,0,15-04-60,0,13,"31,348",No,"148,483",Yes,F,Masters,Lawyer,19,Private,"8,530",Minivan,0,0,0,15,Highly Urban/ Urban
115311847,0,25-10-73,1,0,0,No,0,Yes,F,<High School,Student,34,Private,"4,100",SUV,"5,262",3,0,7,Highly Urban/ Urban
115716477,2,27-05-60,3,10,"46,491",Yes,0,No,M,<High School,Blue Collar,22,Commercial,"23,550",Panel Truck,"1,823",3,0,1,Highly Rural/ Rural
115721035,0,02-02-51,0,12,"13,023",No,"154,122",Yes,F,<High School,Clerical,37,Private,"9,550",Sports Car,"7,000",1,"5,261",8,Highly Urban/ Urban
115958934,2,10-05-61,2,0,0,Yes,0,No,F,Bachelors,Student,13,Private,"5,300",SUV,"6,815",1,0,13,Highly Rural/ Rural
116085412,0,27-08-48,0,11,"139,745",No,"400,399",No,M,PhD,Doctor,12,Private,"21,220",Van,0,0,0,9,Highly Urban/ Urban
116165877,0,08-03-45,0,14,"89,674",No,"261,646",Yes,M,Masters,Lawyer,55,Private,"11,230",Minivan,0,0,0,1,Highly Urban/ Urban
116311140,0,30-10-58,0,13,"62,803",No,"180,931",Yes,M,Bachelors,Professional,17,Commercial,"17,610",Van,0,0,0,9,Highly Rural/ Rural
116348925,0,04-03-66,1,10,"30,885",Yes,"142,220",No,F,High School,Blue Collar,33,Commercial,"4,800",SUV,"6,772",3,0,1,Highly Rural/ Rural
116406463,0,25-06-66,2,14,"58,973",No,"197,613",Yes,M,High School,Blue Collar,26,Commercial,"10,580",Pickup,0,0,"20,540",1,Highly Urban/ Urban
116416696,0,19-10-51,0,8,"27,499",No,"118,913",Yes,M,Bachelors,Manager,17,Private,"6,300",Minivan,0,0,0,10,Highly Urban/ Urban
116434963,0,18-04-65,1,0,0,No,0,Yes,F,High School,Student,17,Commercial,"4,900",SUV,0,0,960,9,Highly Urban/ Urban
116598808,0,10-09-64,0,5,"37,684",No,"155,474",No,M,Masters,Professional,29,Private,"11,040",Minivan,"9,788",2,0,9,Highly Urban/ Urban
116900819,0,21-09-49,0,13,"92,028",No,0,No,M,Masters,Manager,40,Private,"16,260",Minivan,"6,453",3,0,18,Highly Urban/ Urban
116937196,0,29-11-50,0,10,"47,606",No,"186,364",No,F,<High School,Blue Collar,19,Private,"22,000",Minivan,0,0,0,7,Highly Urban/ Urban
117006649,0,15-05-55,0,10,"46,420",No,"184,409",No,F,Masters,Professional,51,Private,"11,010",SUV,0,0,0,1,Highly Urban/ Urban
117132802,0,22-07-49,0,16,"90,015",No,"265,405",Yes,F,Masters,Professional,49,Private,"6,500",SUV,"41,886",1,0,15,Highly Urban/ Urban
117160195,0,15-10-37,0,12,"34,033",No,0,No,M,High School,Blue Collar,69,Commercial,"11,100",Sports Car,"4,821",3,"8,162",1,Highly Urban/ Urban
117173930,0,01-10-44,0,12,"63,376",No,"225,111",Yes,F,Bachelors,Blue Collar,25,Commercial,"13,340",SUV,0,0,0,14,Highly Rural/ Rural
117256479,0,04-11-58,0,11,"71,537",No,"182,239",No,F,Bachelors,Professional,22,Private,"25,530",Van,0,0,0,7,Highly Urban/ Urban
117504874,0,11-08-72,1,0,0,No,"91,135",Yes,F,Bachelors,Home Maker,48,Private,"20,570",SUV,0,0,0,9,Highly Rural/ Rural
117514637,0,02-06-52,0,8,"130,087",No,0,No,F,Masters,Lawyer,28,Private,"11,980",SUV,0,0,0,22,Highly Urban/ Urban
117617375,0,25-04-49,0,8,"93,870",No,"286,090",Yes,M,High School,Blue Collar,60,Commercial,"27,140",Panel Truck,"5,841",2,"7,911",1,Highly Urban/ Urban
117712173,0,15-02-55,2,14,"20,676",No,"148,332",Yes,F,High School,Professional,51,Private,"3,570",SUV,0,0,"4,961",9,Highly Urban/ Urban
117949136,1,10-10-53,0,13,"56,237",No,"210,027",Yes,M,High School,Blue Collar,42,Commercial,"7,440",SUV,"16,165",2,"5,268",8,Highly Urban/ Urban
117974296,0,24-12-51,0,13,"78,119",No,"226,596",Yes,M,Masters,Manager,25,Private,"14,010",Minivan,0,0,0,18,Highly Urban/ Urban
118050419,0,31-10-46,0,15,"72,403",No,"247,537",No,M,Masters,Manager,14,Private,"24,140",Minivan,0,0,0,14,Highly Urban/ Urban
118211661,0,01-12-52,0,12,"214,653",No,"498,559",Yes,M,PhD,Manager,21,Commercial,"37,960",Panel Truck,"7,327",1,0,16,Highly Urban/ Urban
118232203,0,22-12-51,0,11,"14,359",No,0,Yes,M,Bachelors,Student,31,Commercial,"15,490",Minivan,0,0,0,11,Highly Urban/ Urban
118299854,0,06-04-61,0,0,0,No,0,No,M,Bachelors,Home Maker,75,Commercial,"6,570",Pickup,0,0,868,1,Highly Urban/ Urban
118447238,0,02-12-63,0,9,"55,578",No,"173,187",Yes,F,High School,Blue Collar,47,Commercial,"22,230",Minivan,0,0,"5,165",5,Highly Urban/ Urban
118559186,0,26-06-58,0,13,"28,380",No,"118,927",Yes,F,High School,Clerical,41,Private,"11,810",SUV,0,0,0,10,Highly Rural/ Rural
118564784,0,17-06-52,0,12,"62,538",No,"242,258",No,F,Masters,Lawyer,21,Private,"20,530",Minivan,"26,544",2,0,15,Highly Urban/ Urban
118587914,0,18-05-55,0,12,"43,650",No,"116,191",Yes,F,Masters,Lawyer,32,Private,"10,270",Sports Car,0,0,0,11,Highly Urban/ Urban
118594334,0,28-02-66,1,12,"54,480",Yes,"180,381",No,M,High School,Blue Collar,48,Commercial,"10,250",Pickup,"31,332",5,"5,077",11,Highly Urban/ Urban
118619399,0,21-09-45,0,6,"52,409",No,"212,452",No,M,Bachelors,Clerical,40,Private,"12,140",Pickup,"1,986",4,"3,351",7,Highly Urban/ Urban
118667847,0,02-10-55,1,16,"60,398",No,"216,070",Yes,M,High School,Clerical,18,Private,"1,500",Minivan,"3,751",2,0,9,Highly Urban/ Urban
118673265,0,23-06-59,0,11,"76,548",No,"214,584",Yes,F,Bachelors,Professional,20,Private,"5,500",Sports Car,"6,999",3,0,11,Highly Urban/ Urban
118749468,0,26-01-53,0,10,"183,558",No,"472,867",No,F,PhD,Lawyer,33,Private,"19,860",SUV,0,0,0,12,Highly Urban/ Urban
118774553,0,24-09-48,0,14,"24,789",No,"137,805",No,M,PhD,Lawyer,17,Private,"10,900",Minivan,"3,633",1,0,10,Highly Urban/ Urban
118926222,0,26-11-55,2,0,0,No,"117,111",Yes,F,<High School,Home Maker,44,Private,"5,800",Sports Car,"4,959",1,"1,438",6,Highly Urban/ Urban
118927933,0,11-10-52,0,12,"114,748",No,"289,437",Yes,F,High School,Blue Collar,34,Commercial,"24,740",Minivan,0,0,0,10,Highly Urban/ Urban
119129859,0,03-11-52,0,0,0,No,0,No,F,<High School,Student,18,Private,"21,190",Minivan,0,0,0,6,Highly Urban/ Urban
119208279,0,19-05-65,4,8,"129,682",Yes,0,No,M,Masters,Professional,42,Private,"17,870",Minivan,0,0,0,16,Highly Urban/ Urban
119324476,0,05-06-58,0,11,"98,960",No,"283,545",No,M,Bachelors,Professional,32,Commercial,"11,400",Pickup,0,0,0,13,Highly Urban/ Urban
119378202,0,18-12-42,2,17,"29,524",No,"198,107",Yes,F,<High School,Blue Collar,52,Private,"14,250",SUV,0,0,"2,353",7,Highly Urban/ Urban
119882898,0,03-09-58,3,17,"23,097",No,"127,612",Yes,F,<High School,Clerical,17,Private,"10,910",SUV,"6,138",2,0,1,Highly Urban/ Urban
119947264,0,27-09-47,0,10,"136,123",No,"348,357",Yes,M,PhD,Home Maker,5,Private,"10,810",Sports Car,"1,810",1,0,1,Highly Urban/ Urban
119982215,0,20-03-56,1,9,"110,954",No,"310,458",Yes,M,Masters,Lawyer,28,Private,"13,120",Minivan,0,0,0,16,Highly Urban/ Urban
120129492,1,25-09-59,1,14,"76,634",No,"241,975",Yes,M,High School,Blue Collar,32,Commercial,"6,040",Pickup,0,0,0,1,Highly Rural/ Rural
120170270,0,13-05-56,0,11,"50,260",No,"178,766",Yes,F,High School,Professional,36,Private,"20,490",Minivan,0,0,0,1,Highly Urban/ Urban
120361348,1,27-12-53,2,15,"64,916",No,"232,064",Yes,F,Bachelors,Blue Collar,57,Commercial,"30,870",Pickup,"41,476",1,"4,303",12,Highly Urban/ Urban
120604759,0,27-04-51,0,0,0,No,0,No,M,<High School,Student,41,Private,"7,970",Pickup,0,0,0,1,Highly Rural/ Rural
120767247,0,01-04-69,2,11,"132,463",Yes,"362,176",No,M,Bachelors,Professional,38,Private,"14,820",Minivan,"5,007",3,0,11,Highly Urban/ Urban
121024357,0,01-05-47,0,10,"61,988",No,"209,789",Yes,F,Masters,Lawyer,24,Private,"12,900",SUV,0,0,0,23,Highly Urban/ Urban
121056225,0,13-12-71,1,11,"27,957",Yes,0,No,M,High School,Clerical,28,Private,"3,770",Minivan,"5,581",3,"9,117",10,Highly Rural/ Rural
121087369,0,31-01-55,0,11,"42,275",No,"190,963",Yes,M,High School,Blue Collar,34,Commercial,"11,330",Pickup,0,0,0,1,Highly Urban/ Urban
121341763,1,05-05-41,1,14,"87,644",No,"290,988",Yes,F,Bachelors,Manager,37,Private,"16,060",SUV,0,0,0,9,Highly Urban/ Urban
121514861,0,23-02-68,4,6,"32,838",No,"117,101",Yes,M,<High School,Clerical,24,Commercial,"4,600",Pickup,0,0,0,3,Highly Rural/ Rural
121524447,0,30-08-56,0,13,"22,623",No,"184,773",Yes,M,High School,Professional,15,Private,"8,060",Pickup,0,0,"46,858",1,Highly Urban/ Urban
121655149,0,16-12-73,2,12,"26,906",Yes,0,No,F,High School,Clerical,10,Private,"4,000",Sports Car,"23,451",2,"3,748",8,Highly Urban/ Urban
